FacultyID,DayOfWeek,TimeSlot,ScheduledClass,HasMeeting,PrevAvailable,Status
1,0,9,1,0,1,1
1,0,10,1,1,1,0
1,0,11,0,0,0,0
1,0,12,0,0,0,0
1,0,13,0,1,1,0
1,1,9,1,0,1,1
1,1,10,1,1,0,0
1,1,11,0,0,0,0
1,1,12,0,0,0,0
1,1,13,0,1,1,0
1,2,9,1,0,1,1
1,2,10,1,1,0,0
1,2,11,0,0,1,1
1,2,12,0,0,0,0
1,2,13,0,1,1,0
1,3,9,1,0,1,1
1,3,10,0,0,1,0
1,3,11,0,1,0,0
1,3,12,1,0,1,1
1,3,13,1,0,1,1
1,4,9,1,0,1,1
1,4,10,0,1,0,0
1,4,11,0,0,0,0
1,4,12,0,0,1,0
1,4,13,0,1,0,0
1,5,9,1,0,1,1
1,5,10,1,1,0,0
1,5,11,0,0,1,0
1,5,12,0,0,0,0
1,5,13,0,1,1,0
